percentile,eu_percentile1,US_percentile1,OPEC_percentile1,ROW_percentile1
5,9.25686,5.449724,4.710938,5.567919
10,9.915017,7.019099,6.146136,7.814181
15,9.915017,12.8272,6.146136,8.860118
20,11.00327,15.87244,6.582163,9.533407
25,11.37901,16.7135,7.233129,9.892154
30,13.07655,18.90239,7.329603,10.54999
35,14.89961,20.00068,7.65522,11.4298
40,17.75612,21.74154,8.047592,12.07319
45,20.85347,24.38552,8.271434,12.8655
50,26.44417,27.96135,8.482705,13.74265
55,29.02024,31.54341,9.208804,15.39447
60,34.53966,36.44408,9.910107,16.90351
65,39.68418,40.74355,10.41836,19.36948
70,45.91351,43.26137,11.49245,21.49628
75,49.51818,48.06089,12.38615,24.03671
80,55.76413,53.61928,14.79262,27.61246
85,64.55083,61.25866,17.65681,30.78654
90,90.01875,70.69231,21.29695,35.46277
95,132.5329,97.82633,28.27459,49.0393
